number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
1935,7-3-2018,"Speech at Salute to Service dinner in White Sulphur Springs, West Virginia ","""Coal exports -- you remember I said 'Coal. Coal. Clean coal.' Jim, clean coal. Right? We always say, 'clean coal.' And what they can do now is incredible with coal. Clean coal exports skyrocketed by more than 60 per cent nationwide...""","Trump's number is right, but the term ""clean coal"" is false in itself. Trump was referring to a 60 per cent increase in overall coal exports; there is nothing ""clean"" about this coal. Even if one were to believe that there is indeed ""clean coal,"" a term that is the creation of industry spin, the term is not meant to be applied to all coal, which is how Trump uses it. The phrase, the New York Times reported, ""is often understood to mean coal plants that capture the carbon dioxide emitted from smokestacks and bury it underground as a way of limiting global warming."" ",Clean coal,Yes,https://factba.se/transcript/donald-trump-remarks-salute-to-service-dinner-west-virginia-july-3-2018,Energy,,,,Speeches,,,,
1934,7-3-2018,"Speech at Salute to Service dinner in White Sulphur Springs, West Virginia ","""But they (reporters) are back there. They would have said there's no way -- 3.4 million new jobs since Election Day. They would have said, 'No way.' They would have said, and a lot of people would have said.""","It is not true that the media would have accused him of exaggerating if he said 3.4 million jobs would be created in the 19 months after the election. The number of jobs created over the previous 19 months, under Obama, was 4.1 million.",2.4 million jobs unthinkable,Yes,https://factba.se/transcript/donald-trump-remarks-salute-to-service-dinner-west-virginia-july-3-2018,Jobs,Economy,,,Speeches,,,,
1933,7-3-2018,"Speech at Salute to Service dinner in White Sulphur Springs, West Virginia ","""We have secured, this year -- with the help of (Sen.) Shelley (Moore Capito) and your great congressman -- a record $700 billion for our military. And next year, $716 billion -- most amount ever.""","Neither of these amounts is a record. As the New York Times noted, Obama signed a $725 billion version of the same military bill for the 2011 fiscal year. ",Record defence spending,Yes,https://factba.se/transcript/donald-trump-remarks-salute-to-service-dinner-west-virginia-july-3-2018,Military,,,,Speeches,,,,
1932,7-3-2018,Twitter,"""The Washington Post is constantly quoting 'anonymous sources' that do not exist. Rarely do they use the name of anyone because there is no one to give them the kind of negative quote that they are looking for.""",There is no evidence that the Post has invented fake sources for its stories on Trump.,Sources made up,Yes,https://twitter.com/realDonaldTrump/status/1014261296240488450,Media,,,,Twitter,,,,
1931,7-3-2018,Twitter,"""Wow! The NSA has deleted 685 million phone calls and text messages. Privacy violations? They blame technical irregularities. Such a disgrace. The Witch Hunt continues!""","There is no evidence that this NSA decision, or data, was in any way connected to special counsel Robert Mueller's investigation into his campaign's relationship with Russia, the probe he calls a ""witch hunt."" ",NSA data is witch hunt,no,https://twitter.com/realDonaldTrump/status/1014151457954811904,US intelligence,Robert Mueller,Russian ties,,Twitter,,,,
1930,7-3-2018,Twitter,"""Just out that the Obama Administration granted citizenship, during the terrible Iran Deal negotiation, to 2,500 Iranians - including to government officials.""","There is no evidence to support this claim. (We will update this entry if Trump or anyone else provides some.) As PolitiFact explained, Trump's claim appeared to be based on a Fox News article that was, in turn, based solely on statements quoted in the Iranian press from Hojjat al-Islam Mojtaba Zolnour, a hard-line cleric critical of the country's nuclear deal. Nobody else has publicly made such a claim; a chorus of former Obama officials said the claim was false; experts on Iran also expressed overwhelming skepticism. PolitiFact reported: ""Richard Nephew, who works for Columbia University and was the State Department's lead sanctions expert from August 2013 to December 2014, told PolitiFact that the claim 'is entirely nonsense.' 'It would have made no sense for us to have done this and less sense for the officials to have agreed/requested citizenship. While I was on the team, this wasn't even discussed, considered or thought about. I would bet any sum you'd care to wager that this didn't come up after I left the talks. And, it is worth noting that after years of congressional inquiry into this, we never heard of it. I find it hard to believe that's because this one opposition politician in Iran was the only person who knew about it.""",Iranians citizenship,no,https://twitter.com/realDonaldTrump/status/1014117468858650624,Iran,Barack Obama,Past presidents,,Twitter,,,,
1929,7-1-2018,Interview on Fox News with Maria Bartiromo,"""OPEC is manipulating. And you know, they allowed less than we thought last week. They have to put out another two million barrels in my opinion. Because we don't want that happening. Don't forget, the one negative to the Iran deal is you're going to lose a lot of oil and they got to make up for it.""","Trump may have been simply attempting to speak in shorthand here, but what emerged from his mouth was a false claim. What he appeared to mean was that his decision to abandon the Iran nuclear deal and reimpose sanctions against Iran would result in one negative, a reduction in the supply of oil from Iran. Instead, however, he said the Iran deal itself leads to a reduction in the supply of oil from Iran.",Iran deal oil ,no,https://factba.se/transcript/donald-trump-interview-maria-bartiromo-fox-july-1-2018,Iran,Energy,,,Interviews,,,,
1928,7-1-2018,Interview on Fox News with Maria Bartiromo,"""I think that Harley is an American bike. It's an American motorcycle. And they should build them in this country. They shouldn't play cute. And I had them for lunch six months ago.""","Trump hosted a lunch for Harley-Davidson executives in February 2017, more than 16 months prior to his comments. (We will remove this item from the false claims list if the White House provides evidence of another lunch six months ago.)",Harley lunch six months ago,no,https://factba.se/transcript/donald-trump-interview-maria-bartiromo-fox-july-1-2018,Exaggeration,,,,Interviews,,,,
1927,7-1-2018,Interview on Fox News with Maria Bartiromo,"""Look, I devoted a lot of time to Harley-Davidson. I treated them good. I guarantee you, everybody that ever bought a Harley-Davidson voted for Trump. I don't know if you know that.""",This is obviously an exaggeration.,All Harley buyers voted for me,no,https://factba.se/transcript/donald-trump-interview-maria-bartiromo-fox-july-1-2018,Election,Exaggeration,Trade,,Interviews,,,,
1926,7-1-2018,Interview on Fox News with Maria Bartiromo,"""Now, we all sort of love the European Union. You know, I was there many, many years ago, meaning, my parents were born in the European Union, but before there was a...""","Only one of Trump's parents, his Scottish mother, was born in Europe. His father, Fred, was born in New York City. (His grandfather, Frederick, was born in what is now Germany.)",Parents born in EU,no,https://factba.se/transcript/donald-trump-interview-maria-bartiromo-fox-july-1-2018,European Union,,,,Interviews,,,,
